quote,author,tags,likes
"He went to the church, and walked about the streets, and watched the people hurrying to and for, and patted the children on the head, and questioned beggars, and looked down into the kitchens of homes, and up to the windows, and found that everything could yield him pleasure. He had never dreamed of any walk, that anything, could give him so much happiness. (p. 119)",Charles Dickens,christmas happiness pleasure,100
"Christmas and Easter can be subjects for poetry, but Good Friday, like Auschwitz, cannot. The reality is so horrible it is not surprising that people should have found it a stumbling block to faith.",W.H. Auden,auschwitz christmas crucifixion easter good-friday,87
"I truly believe that if we keep telling the Christmas story, singing the Christmas songs, and living the Christmas spirit, we can bring joy and happiness and peace to this world.",Norman Vincent Peale,christmas,83
" ""At Christmas, tea is compulsory. Relatives are optional.",Robert Godden,christmas comfort coziness family holidays tea,70
"As long as we know in our hearts what Christmas ought to be, Christmas is.",Eric Sevareid,christmas,60
"Thank you,"" he says.""Thank who?""""I don't know. You?""""No, not me. Jesus.""""Thank you, Jesus?""""Yes, Toph, Jesus died for your Christmas fun.",Dave Eggers,christmas exploitation holidays pranksters thanks,60
Everyone wants a Christmas tree. If you had a Christmas tree Santa would bring you stuff! Like hair curlers and slut shoes.,Janet Evanovich,christmas diesel humor,60
God put Santa Claus on earth to remind us that Christmas is 'sposed to be a happy time.,Bil Keane,being-happy christmas enjoy-life fulfillment god-s-love happy jared-wheat joy pursuit-of-happiness santa santa-claus spirit-of-christmas,56
"Christmas! The very word brings joy to our hearts. No matter how we may dread the rush, the long Christmas lists for gifts and cards to be bought and given--when Christmas Day comes there is still the same warm feeling we had as children, the same warmth that enfolds our hearts and our homes.",Joan Winmill Brown,christmas,51
"It struck him that how you spent Christmas was a message to the world about where you were in life, some indication of how deep a hole you had managed to burrow for yourself",Nick Hornby,christmas humour,47
"Unless we make Christmas an occasion to share our blessings, all the snow in Alaska won't make it 'white'.",Bing Crosby,christmas,46
"If you desire to find the true spirit of Christmas and partake of the sweetness of it, let me make this suggestion to you. During the hurry of the festive occasion of this Christmas season, find time to turn your heart to God. Perhaps in the quiet hours, and in a quiet place, and on your knees—alone or with loved ones—give thanks for the good things that have come to you, and ask that His Spirit might dwell in you as you earnestly strive to serve Him and keep His commandments. He will take you by the hand and His promises will be kept.",Howard W. Hunter,christmas religion,44
"The universe is a trillion, trillion threads moving in seemingly unrelated directions. Yet when you look at them together, they create a remarkable tapestry.",Richard Paul Evans,christmas,41
"Hey, great idea: if you have kids, give your partner reading vouchers next Christmas. Each voucher entitles the bearer to two hours' reading time *while the kids are awake*. It might look like a cheapskate present, but parents will appreciate that it costs more in real terms than a Lamborghini.",Nick Hornby,christmas gifts parenting reading,33
Thanksgiving was nothing more than a pilgrim-created obstacle in the way of Christmas; a dead bird in the street that forced a brief detour.,Augusten Burroughs,christmas humor thanksgiving,33
"Were I a philosopher, I should write a philosophy of toys, showing that nothing else in life need to be taken seriously, and that Christmas Day in the company of children is one of the few occasions on which men become entirely alive.",Robert Lynd,christmas,31
"Christmas Eve is my favorite... I think the anticipation is more fun than anything else. I kind of lost that. The idea that something - food, traditions, an arbitrary date on the calendar - can be special because we decide it should be. We make it special. Not just for ourselves, but for others.",Kiersten White,christmas,31
The worst gift I was given is when I got out of rehab that Christmas; a bottle of wine. It was delicious.,Craig Ferguson,alcohol christmas gift rehab wine,29
One of the things that Christmas reminds us is that Jesus Christ was once a child.,Hark Herald Sarmiento,child children christ christmas jesus jesus-christ,24
"Good for Christmas-time is the ruddy colour of the cloak in which--the tree making a forest of itself for her to trip through, with her basket--Little Red Riding-Hood comes to me one Christmas Eve to give me information of the cruelty and treachery of that dissembling Wolf who ate her grandmother, without making any impression on his appetite, and then ate her, after making that ferocious joke about his teeth. She was my first love. I felt that if I could have married Little Red Riding-Hood, I should have known perfect bliss. But, it was not to be; and there was nothing for it but to look out the Wolf in the Noah's Ark there, and put him late in the procession on the table, as a monster who was to be degraded.",Charles Dickens,charles-dickens christmas christmas-eve dickens fairytale fairytales little-red little-red-riding-hood noah-s-ark red wolf wolves,23
"You cannot make this kind of decision,"" he said. ""Go off with someone you barely know. You're seventeen.""""And you're the guy who got drunk on eggnog last Christmas and danced to 'Turn The Beat Around' in Aunt Rachel's wig, so stop acting like you're in charge.""""We agreed not to mention that ever again,"" Jason whispered furiously.",Leigh Bardugo,christmas eggnog sci-fi superhero superheroes wonder-woman wonder-woman-warbringer ya-lit young-adult,23
"Like kids who only ever get socks for Christmas, but still believe with all their hearts in Santa.",Barbara Kingsolver,christmas heartbreaking metaphor santa,16
"Christmas time! That man must be a misanthrope indeed, in whose breast something like a jovial feeling is not roused—in whose mind some pleasant associations are not awakened—by the recurrence of Christmas. There are people who will tell you that Christmas is not to them what it used to be; that each succeeding Christmas has found some cherished hope, or happy prospect, of the year before, dimmed or passed away; that the present only serves to remind them of reduced circumstances and straitened incomes—of the feasts they once bestowed on hollow friends, and of the cold looks that meet them now, in adversity and misfortune. Never heed such dismal reminiscences. There are few men who have lived long enough in the world who cannot call up such thoughts any day of the year. Then do not select the merriest of the three hundred and sixty-five for your doleful recollections, but draw your chair nearer the blazing fire—fill the glass and send round the song—and if your room be smaller than it was a dozen years ago, or if your glass be filled with reeking punch, instead of sparkling wine, put a good face on the matter, and empty it offhand, and fill another, and troll off the old ditty you used to sing, and thank God it’s no worse.",Charles Dickens,christmas g-d happiness holidays life perseverance perspective time,14
"At one time, most of my friends could hear the bell, but as years passed, it fell silent for all of them. Even Sarah found one Christmas that she could no longer hear its sweet sound. Though I've grown old, the bell still rings for me, as it does for all who truly believe.",Chris Van Allsburg,believe bell christmas old young,154
"I felt overstuffed and dull and disappointed, the way I always do the day after Christmas, as if whatever it was the pine boughs and the candles and the silver and gilt-ribboned presents and the birch-log fires and the Christmas turkey and the carols at the piano promised never came to pass.",Sylvia Plath,christmas disappointment holidays,120
"At this time of year it's easy to forget the true meaning of Christianity - the lies, the corruption, the abuse.",Banksy,abuse art christianity christmas priest religion sarcasm,99
"Remember, if Christmas isn't found in your heart, you won't find it under a tree.",Charlotte Carpenter,christmas,69
"Never worry about the size of your Christmas tree. In the eyes of children, they are all 30 feet tall",Larry Wilde,christmas,64
Not believe in Santa Claus! You might as well not believe in fairies!,Francis P. Church,christmas santa-claus yes-virginia,61
The light of the Christmas star to you. The warmth of home and hearth to you. The cheer and goodwill of friends to you. The hope of a child-like heart to you. The joy of a thousand angels to you. The love of the Son and God's peace to you.,Sherryl Woods,christmas irish-proverbs,55
"God is here. This truth should fill our lives, and every Christmas should be for us a new and special meeting with God, when we allow his light and grace to enter deep into our soul.",Josemaría Escrivá,christ christmas god jesus,53
"Jesus soon is coming,and Christmas too,Good reason for being happy, Helping people to do.",Miguel Ángel Sáez Gutiérrez «Marino»,christmas helping-others jesus,42
"Everyone wants to feel loved, but when all you feel is alone it's tough to accomplish anything else.",Glenn Beck,christmas inspirational,38
"Colored lights blink on and off, racing across the green boughs. Their reflections dance across exquisite glass globes and splinter into shards against tinsel thread and garlands of metallic filaments that disappear underneath the other ornaments and finery.Shadows follow, joyful, laughing sprites.The tree is rich with potential wonder.All it needs is a glance from you to come alive.",Vera Nazarian,christmas december fireworks holiday lights tree winter,33
"The human life cycle no less than evolves around the box; from the open-topped box called a bassinet, to the pine box we call a coffin, the box is our past and, just as assuredly, our future. It should not surprise us then that the lowly box plays such a significant role in the first Christmas story. For Christmas began in a humble, hay-filled box of splintered wood. The Magi, wise men who had traveled far to see the infant king, laid treasure-filled boxes at the feet of that holy child. And in the end, when He had ransomed our sins with His blood, the Lord of Christmas was laid down in a box of stone. How fitting that each Christmas season brightly wrapped boxes skirt the pine boughs of Christmas trees around the world. ",Richard Paul Evans,boxes christmas jesus,31
There has been only one Christmas -- the rest are anniversaries.,W. J. Cameron,christmas,30
"Although it is pleasant to think about poison at any season, there is something special about Christmas, and I found myself grinning.",Alan Bradley,christmas holidays humor poison,29
"I walked inside Macy’s and faced the pathetic spectacle of a department store full of shoppers, none of whom were shopping for themselves. Without the instant gratification of a self-aimed purchase, everyone walked around in the tactical stupor of the financially obligated.",Rachel Cohn,christmas shopping,28
"Christmas is a time in which, of all times in the year, the memory of every remediable sorrow, wrong, and trouble in the world around us, should be active with us, not less than our own experiences, for all good.",Charles Dickens,christmas,27
"I had never before been a special fan of that great comedian Phyllis Diller, but she utterly won my heart this week by sending me an envelope that, when opened, contained a torn-off square of brown-bag paper of the kind suitable for latrine duty in an ill-run correctional facility. Duly unfurled, it carried a handwritten salutation reading as follows:Money's scarceTimes are hardHere's your f******Xmas cardI could not possibly improve on the sentiment, but I don't think it ought to depend on the current austerities. Isn't Christmas a moral and aesthetic nightmare whether or not the days are prosperous?",Christopher Hitchens,christmas comedy humour phyllis-diller,26
"She was an exotic flower amongst the snowdrifts, out of place, a Technicolor misfit in a monochrome Christmas movie.",Thomm Quackenbush,christmas flower girl love romance tecnhicolor,26
"At ChristmasA man is at his finest towards the finish of the year;He is almost what he should be when the Christmas season's here;Then he's thinking more of others than he's thought the months before,And the laughter of his children is a joy worth toiling for.He is less a selfish creature than at any other time;When the Christmas spirit rules him he comes close to the sublime.",Edgar Guest,christmas,24
"I sometimes think we expect too much of Christmas Day. We try to crowd into it the long arrears of kindliness and humanity of the whole year. As for me, I like to take my Christmas a little at a time, all through the year. And thus I drift along into the holidays - let them overtake me unexpectedly - waking up some find morning and suddenly saying to myself: 'Why, this is Christmas Day!",David Grayson,christmas inspirational,21
"The Christmas tree, twinkling with lights, had a mountain of gifts piled up beneath it, like offerings to the great god of excess.",Tess Gerritsen,christmas gifts holidays materialism tess-gerritsen,20
"Fail not to call to mind, in the course of the twenty-fifth of this month, that the Divinest Heart that ever walked the earth was born on that day; and then smile and enjoy yourselves for the rest of it; for mirth is also of Heaven's making. ",Leigh Hunt,christmas,18
"I manage a toast to the Christmas treeand one to the sweet absurdityin the miracle of the verb to be.Lucky you, lucky me.",Miller Williams,christmas,16
I think commercialism helps Christmas and I think that the more capitalism we can inject into the Christmas holiday the more spiritual I feel about it ,Craig Ferguson,capitalism christmas commercialism spiritual,13
"Matt is grinning at me like I'm the new Christmas toy he really wanted, but can't play with yet because he hasn't read the instructions.",Jillian Dodd,christmas,13
"Glen had a disability more disfiguring than a burn and more terrifying than cancer. Glen had been born on the day after Christmas. ""My parents just combine my birthday with Christmas, that's all,"" he explained.But we knew this was a lie. Glen's parents just wrapped a couple of his Christmas presents in birthday-themed wrapping paper, stuck some candles in a supermarket cake, and had a dinner of Christmas leftovers.",Augusten Burroughs,birthdays christmas humor,11
O Christmas Sun! What holy task is thine!To fold a world in the embrace of God!,Guy Wetmore Carryl,christmas,10
"Ugster vinyl pumps, Partridge Family records, plastic daisy jewelry, old postcards. . . . It's a magpie Christmas market.",Francesca Lia Block,christmas culture,10
"But there was no room at the inn""; the inn is the gathering place of public opinion; so often public opinion locks its doors to the King.",Fulton J. Sheen,catholic catholicism christmas,10
It was then that he felt someone silently tap him on the shoulder. He froze as he felt the breath on his ear through his matted hair. “Mi asavo! Non faccio niente!,Cece Whittaker,adventure christmas nazis,10
"If your Birthday is on Christmas day and you're not Jesus, you should start telling people your birthday is on June 9 or something. Just read up on the traits of a Gemini. Suddenly you're a multitasker who loves the color yellow. Because not only do you get stuck with them combo gift, you get the combo song. ""We wish you a merry Christmas - and happy birthday, Terry - we wish you a merry Christmas - happy birthday, Terry - we wish you a merry Christmas and a happy New Ye - Birthday, Terry!",Ellen DeGeneres,birthday christmas combo-gift combo-song funny gemini,86
"And now brothers, I will ask you a terrible question, and God knows I ask it also of myself. Is the truth beyond all truths, beyond the stars, just this: that to live without him is the real death, that to die with him the only life?",Frederick Buechner,christ christmas cross devotional easter jesus religion salvation spirituality,74
"I know what I really want for Christmas.I want my childhood back.Nobody is going to give me that. I might give at least the memory of it to myself if I try. I know it doesn't make sense, but since when is Christmas about sense, anyway? It is about a child, of long ago and far away, and it is about the child of now. In you and me. Waiting behind the door of or hearts for something wonderful to happen. A child who is impractical, unrealistic, simpleminded and terribly vulnerable to joy.",Robert Fulghum,childhood children christmas,67
"Of course, my Christmas is (so much more) gorgeous and romantic (than Germany's)!! And unlike the rest of the world, we leave wine behind for Santa Claus!""""So Santa-san is delivering gifts to children while driving under the influence . . . ?",Hidekaz Himaruya,christmas france gifts hetalia influence japan wine,62
"The nutcracker sits under the holiday tree, a guardian of childhood stories. Feed him walnuts and he will crack open a tale...",Vera Nazarian,childhood christmas holiday holidays nutcracker nuts stories story tale tree walnuts,32
Christmas is a bridge. We need bridges as the river of time flows past. Today's Christmas should mean creating happy hours for tomorrow and reliving those of yesterday.,Gladys Bagg Taber,christmas,31
"Christmas Eve was a night of song that wrapped itself about you like a shawl. But it warmed more than your body. It warmed your heart... filled it, too, with a melody that would last forever. Even though you grew up and found you could never quite bring back the magic feeling of this night, the melody would stay in your heart always - a song for all the years.",Bess Streeter Aldrich,christmas,31
"I deciced if I were ever to get into booze and women, my line would be, 'Excuse me, madam, but I would really love to bed and muss you. . . . Are you perchance free this evening?",Rachel Cohn,christmas humor romance teen,29
"Let the children have their night of fun and laughter. Let the gifts of Father Christmas delight their play. Let us grown-ups share to the full in their unstinted pleasures before we turn again to the stern task and the formidable years that lie before us, resolved that, by our sacrifice and daring, these same children shall not be robbed of their inheritance or denied their right to live in a free and decent world."" Winston Churchill Christmas Eve Message, 1941 as printed in ""In the Dark Streets Shineth.",David McCullough,children christmas hope,27
"Christmas is the gentlest, loveliest festival of the revolving year - and yet, for all that, when it speaks, its voice has strong authority. ",W.J. Cameron,christmas,24
Next to a circus there ain't nothing that packs up and tears out any quicker than the Christmas spirit,Kin Hubbard,christmas circus humor,23
"Christmas works like glue, it keeps us all sticking together.",Rosie Thomas,christmas,20
"At Christmas play and make good cheer, For Christmas comes but once a year.",Thomas Tusser,christmas,18
"To perceive Christmas through its wrapping becomes more difficult with every year. ""The Distant Music of the Hounds,"" 1954",E.B. White,christmas,15
"Say what's in your heart, Annie.''You're in my heart, Samuel.",Vannetta Chapman,amish christmas love,15
"The more death, the more birth. People are entering, others are exiting. The cry of a baby, the mourning of others. When others cry, the other are laughing and making merry. The world is mingled with sadness, joy, happiness, anger, wealth, poverty, etc.",Michael Bassey Johnson,birth burial casket celebrate ceremony christmas coffin crying death different-people funeral happiness hope life lost mind mourning psyche psychic re-incarnation rituals sadness soul tears thoughts ups-and-down,14
"It comes every year and will go on forever. And along with Christmas belong the keepsakes and the customs. Those humble, everyday things a mother clings to, and ponders, like Mary in the secret spaces of her heart.",Marjorie Holmes,christmas,13
Look up.,Luanne Rice,christmas hope love,13
